session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
grj9bsph,134,wryztlhl,6,si_experiment,PostQuestions2_1,1662054031,1,0,0
grj9bsph,133,ojt69a2a,9,si_experiment,PercAccuracy,1662054039,1,0,0
grj9bsph,134,wryztlhl,7,si_experiment,Stage2_1,1662054044,1,0,0
grj9bsph,135,eqeyahtp,6,si_experiment,PostQuestions2_1,1662054068,1,0,0
grj9bsph,135,eqeyahtp,7,si_experiment,Stage2_1,1662054075,1,0,0
grj9bsph,129,otw0bacm,17,si_experiment,PostQuestions2,1662054081,1,0,0
grj9bsph,134,wryztlhl,8,si_experiment,Task,1662054093,1,0,0
grj9bsph,137,do0rbgig,8,si_experiment,Task,1662054095,1,0,0
grj9bsph,132,vdzp6180,8,si_experiment,Task,1662054096,1,0,0
grj9bsph,132,vdzp6180,9,si_experiment,PercAccuracy,1662054100,1,0,0
grj9bsph,109,viyphs7f,3,si_experiment,Task2_1,1662054111,1,0,0
grj9bsph,133,ojt69a2a,10,si_experiment,WTP,1662054117,1,0,0
grj9bsph,138,dwizifn3,0,,InitializeParticipant,1662054126,1,0,0
grj9bsph,138,dwizifn3,1,si_experiment,Intro,1662054133,1,0,0
grj9bsph,135,eqeyahtp,8,si_experiment,Task,1662054136,1,0,0
grj9bsph,133,ojt69a2a,11,si_experiment,Revision,1662054145,1,0,0
grj9bsph,134,wryztlhl,9,si_experiment,PercAccuracy,1662054147,1,0,0
grj9bsph,109,viyphs7f,4,si_experiment,PercAccuracy2_1,1662054148,1,0,0
grj9bsph,135,eqeyahtp,9,si_experiment,PercAccuracy,1662054153,1,0,0
grj9bsph,137,do0rbgig,9,si_experiment,PercAccuracy,1662054158,1,0,0
grj9bsph,132,vdzp6180,10,si_experiment,WTP,1662054160,1,0,0
grj9bsph,139,e69hg5z2,0,,InitializeParticipant,1662054165,1,0,0
grj9bsph,139,e69hg5z2,1,si_experiment,Intro,1662054169,1,0,0
grj9bsph,132,vdzp6180,11,si_experiment,Revision,1662054174,1,0,0
grj9bsph,130,c1uhhj8s,10,si_experiment,WTP,1662054180,1,0,0
grj9bsph,138,dwizifn3,2,si_experiment,PreQuestions,1662054180,1,0,0
grj9bsph,109,viyphs7f,5,si_experiment,Revision2_1,1662054183,1,0,0
grj9bsph,134,wryztlhl,10,si_experiment,WTP,1662054185,1,0,0
grj9bsph,132,vdzp6180,12,si_experiment,PostQuestions,1662054195,1,0,0
grj9bsph,134,wryztlhl,11,si_experiment,Revision,1662054204,1,0,0
grj9bsph,138,dwizifn3,3,si_experiment,Task2_1,1662054206,1,0,0
grj9bsph,139,e69hg5z2,2,si_experiment,PreQuestions,1662054210,1,0,0
grj9bsph,135,eqeyahtp,10,si_experiment,WTP,1662054210,1,0,0
grj9bsph,133,ojt69a2a,12,si_experiment,PostQuestions,1662054215,1,0,0
grj9bsph,137,do0rbgig,10,si_experiment,WTP,1662054217,1,0,0
grj9bsph,130,c1uhhj8s,11,si_experiment,Revision,1662054218,1,0,0
grj9bsph,138,dwizifn3,4,si_experiment,PercAccuracy2_1,1662054219,1,0,0
grj9bsph,132,vdzp6180,18,si_experiment,SocDist2_1,1662054221,1,0,0
grj9bsph,139,e69hg5z2,3,si_experiment,Task2_1,1662054232,1,0,0
grj9bsph,140,aetnaysx,0,,InitializeParticipant,1662054238,1,0,0
grj9bsph,132,vdzp6180,19,si_experiment,SocDist1,1662054239,1,0,0
