,wtp_none,wtp_dev,wtp_treateff,woa_none,woa_dev,woa_treateff,g1_sticky_none,g1_sticky_dev,g1_sticky_treateff,g1_predonly_none,g1_predonly_dev,g1_predonly_treateff
"('raw', 'single', 'dev_stage_cluster')",0.044110507361946646,0.11780219646828718,0.09298370690970187,0.006865235278681735,0.05015879997477325,0.1857601966601258,0.07962724393352555,0.03821840079290427,0.2639061439214008,0.06802351687821957,0.049965558301105904,0.2081795953833305
"('raw', 'single weighted rel', 'robust')",0.2530704303332575,0.12675918837202343,0.20422335338198916,0.20673898903343135,0.11568619408796353,0.4638270368609143,0.24347261045931,0.0022258271749039105,0.17239224431197275,0.35508639981533596,0.010242565157192664,0.09436570396818308
"('raw', 'single weighted rel', 'dev_cluster')",0.30498442945627946,0.013245184972236554,0.017973251040057404,0.08024301687849411,0.07878968288183581,0.2908399864829746,0.12322032600778327,0.004221021340631551,0.1692841702167093,0.1572168208012269,0.0003948051173728887,0.17264104697631655
"('raw', 'single weighted rel', 'task_cluster')",0.3321917151678961,0.04772798547883877,0.0699739088552028,0.18732241484500994,0.48023022659145,0.4665644177165264,0.2874049311892591,0.11047806891964569,0.14372628649857594,0.2688604812066815,0.09067401302762639,0.10829511883796887
"('raw', 'single weighted rel', 'dev_task_cluster')",0.307037317251301,0.009819974669586775,0.11496106919125551,0.04335796517312861,0.12453538706392042,0.17527677086868387,0.2040127582482182,0.02330640955384347,0.08850523925902369,0.16284968530151758,0.04319331114898571,0.04558678662138391
"('raw', 'single weighted rel', 'stage_cluster')",0.2165472212882772,0.3719530130319569,0.5536191955024726,0.25814463943012794,0.15309015811625828,0.28330698441083185,0.42656583103277235,0.06036405823901127,0.07649058902249349,0.05484284786950974,0.07692604488173171,0.029265163287025286
"('raw', 'single weighted rel', 'dev_stage_cluster')",0.15098794079117564,0.0727297215212354,0.2191286870044044,0.13734213342279727,0.11282243238596043,0.32395359988190614,0.31594543278539533,0.023609776101408856,0.18378864804485043,0.4683657999221249,0.005951657471641963,0.20615273495673184
"('raw', 'single weighted abs', 'robust')",0.1907234736513881,0.0988196078616181,0.16417545313044446,0.32196236488259344,0.09439190223942179,0.26401065773635646,0.1269209126537045,0.006437019478931448,0.1155617567033405,0.3515922830308137,0.0266588577168169,0.09024187954477483
"('raw', 'single weighted abs', 'dev_cluster')",0.10812233440415502,0.018825093088958855,0.02754248984315744,0.13359802833179726,0.0226855144965805,0.24562819257369833,0.0038845189598733236,0.006222940079517965,0.06677760282849034,0.052498350572188573,0.0065965093624577205,0.19219369054889698
"('raw', 'single weighted abs', 'task_cluster')",0.25011021684068246,0.06185677702400641,0.13566835073898045,0.058721238853813015,0.4052065743943725,0.17472323551236502,0.21848797979057916,0.027215930891288726,0.05894488929276272,0.5805863202263316,0.01674061298378162,0.053174413670815636
