,domain,avg_align,l2,l1,n,r1,r2,website,Twitter
66,ondoweiss.net,-0.7135,0.4727,0.5067,0.0184,0.0019,0.0003,https://ondoweiss.net,['down']
67,ic.com,-0.7083,0.731,0.2392,0.0262,0.0034,0.0002,https://ic.com,[]
68,atlantablackstar.com,-0.7055,0.4158,0.5792,0.0047,0.0,0.0003,https://atlantablackstar.com,['https://twitter.com/ATLBlackStar']
69,www.worldstarhiphop.com,-0.7047,0.4041,0.5942,0.001,0.0006,0.0,https://www.worldstarhiphop.com,['https://www.twitter.com/worldstar']
70,www.takepart.com,-0.7045,0.6588,0.3134,0.0267,0.001,0.0,https://www.takepart.com,['https://twitter.com/Participant']
71,app.actionsprout.com,-0.6993,0.5989,0.3427,0.0102,0.0338,0.0144,https://app.actionsprout.com,['down']
72,thecolbertreport.cc.com,-0.6937,0.6752,0.2911,0.0325,0.0012,0.0,https://thecolbertreport.cc.com,[]
73,indiancountrytodaymedianetwork.com,-0.692,0.3031,0.6836,0.013,0.0,0.0003,https://indiancountrytodaymedianetwork.com,['down']
74,www.slate.com,-0.6813,0.6183,0.3083,0.0606,0.0112,0.0016,https://www.slate.com,['https://twitter.com/slate']
75,firstlook.org,-0.6805,0.4541,0.4526,0.0916,0.0018,0.0,https://firstlook.org,['https://twitter.com/firstlookmedia']
76,thedailyshow.cc.com,-0.6704,0.6918,0.2423,0.0452,0.0203,0.0005,https://thedailyshow.cc.com,[]
77,www.newrepublic.com,-0.6695,0.7501,0.1501,0.0946,0.0041,0.0011,https://www.newrepublic.com,['https://www.twitter.com/newrepublic/']
78,news.kron4.com,-0.6604,0.3254,0.6199,0.0534,0.0006,0.0007,https://news.kron4.com,['down']
79,www.vox.com,-0.6591,0.5967,0.3334,0.0494,0.0198,0.0007,https://www.vox.com,['https://twitter.com/voxdotcom']
80,secure.nrdconline.org,-0.6553,0.3558,0.5217,0.086,0.0366,0.0,https://secure.nrdconline.org,['https://twitter.com/nrdc']
81,www.middleeastmonitor.com,-0.6544,0.2207,0.7376,0.0363,0.004,0.0013,https://www.middleeastmonitor.com,['https://www.twitter.com/middleeastmnt']
82,www.rollingstone.com,-0.6487,0.5395,0.4189,0.0364,0.0052,0.0001,https://www.rollingstone.com,['https://twitter.com/RollingStone']
83,secure3.convio.net,-0.6422,0.2187,0.3215,0.3904,0.068,0.0014,https://secure3.convio.net,[]
84,www.vice.com,-0.6267,0.2262,0.7134,0.042,0.0178,0.0006,https://www.vice.com,['https://twitter.com/vice_de']
85,io9.com,-0.6232,0.2943,0.6491,0.0554,0.0005,0.0008,https://io9.com,['https://twitter.com/gizmodo']
86,www.huffingtonpost.com,-0.6176,0.3618,0.3306,0.2914,0.0149,0.0013,https://www.huffingtonpost.com,['https://www.twitter.com/HuffPost']
87,www.npr.org,-0.6103,0.4501,0.4682,0.0732,0.0081,0.0003,https://www.npr.org,['https://twitter.com/NPR']
88,www.trueactivist.com,-0.6032,0.0135,0.2341,0.0566,0.6958,0.0,https://www.trueactivist.com,['https://twitter.com/TrueActivist']
89,www.thepetitionsite.com,-0.6,0.4272,0.4916,0.0688,0.0094,0.003,https://www.thepetitionsite.com,['https://www.twitter.com/Care2']
90,www.dailydot.com,-0.5961,0.2917,0.6939,0.0138,0.0004,0.0002,https://www.dailydot.com,['https://twitter.com/dailydot']
91,www.aljazeera.com,-0.5895,0.3394,0.5653,0.0828,0.0116,0.0009,https://www.aljazeera.com,['https://twitter.com/ajenglish']
92,www.student-debt-forgiveness.com,-0.5858,0.054,0.8958,0.0496,0.0,0.0006,https://www.student-debt-forgiveness.com,['down']
93,www.sfgate.com,-0.581,0.4248,0.4295,0.0788,0.0545,0.0125,https://www.sfgate.com,['https://twitter.com/sfgate/']
94,www.theguardian.com,-0.5723,0.485,0.3601,0.123,0.0294,0.0025,https://www.theguardian.com,"['https://twitter.com/guardian', 'https://twitter.com/guardianworld']"
95,pix11.com,-0.5719,0.1315,0.5237,0.1324,0.212,0.0004,https://pix11.com,[]
