garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
False,True,False,True,1.0,4.5,70.37,1960.0,339000.0,3,1,0,0,1,0,0,0,0
False,True,True,True,2.0,2.0,63.0,1973.0,339000.0,1,2,0,0,1,0,0,0,0
False,True,True,True,2.0,2.0,63.0,1973.0,349000.0,1,2,0,0,1,0,0,0,0
True,True,True,True,3.0,1.0,39.06,1980.0,349000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,5.0,2.0,59.0,1972.0,350000.0,1,2,0,0,1,0,0,0,0
False,True,True,True,6.0,2.0,42.7,2003.0,350000.0,2,3,0,0,1,0,0,0,0
False,True,True,True,2.0,2.0,54.03,2004.0,351000.0,1,3,0,0,1,0,0,0,0
True,True,False,False,4.0,4.0,65.0,1900.0,359000.0,1,1,0,0,1,0,0,0,0
True,True,False,False,-1.0,2.0,56.0,1955.0,359000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,1.0,3.0,84.0,1970.0,360000.0,3,1,0,0,1,0,0,0,0
False,True,False,False,2.0,2.0,60.0,1980.0,365000.0,1,1,0,0,1,0,0,0,0
False,True,False,False,3.0,2.0,54.0,1953.0,369000.0,3,1,0,0,1,0,0,0,0
False,True,True,False,2.0,2.0,54.04,1995.0,372000.0,2,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,28.6,2021.0,373500.0,1,3,0,0,1,0,0,0,0
False,False,False,True,-1.0,3.5,72.0,1968.0,374500.0,3,1,0,0,1,0,0,0,0
True,True,True,True,16.0,3.0,82.0,1970.0,375000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,71.79,1961.0,375900.0,3,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,35.9,2022.0,376900.0,1,1,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,67.0,1960.0,379000.0,3,1,0,0,1,0,0,0,0
True,True,True,False,-1.0,2.0,61.49,2005.0,379000.0,2,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,34.6,2022.0,380500.0,1,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,30.2,2021.0,384100.0,1,3,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,28.2,2021.0,387400.0,1,3,0,0,1,0,0,0,0
False,True,True,True,1.0,2.0,47.0,1950.0,395000.0,2,2,0,0,1,0,0,0,0
False,False,True,True,-1.0,1.0,37.7,2022.0,395800.0,1,1,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,70.0,1997.0,398000.0,1,1,0,0,1,0,0,0,0
True,True,True,True,2.0,2.0,54.0,2001.0,399000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,1.0,3.0,90.0,1967.0,399000.0,1,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,4.0,104.0,1972.0,399000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,75.24,1972.0,399000.0,3,1,0,0,1,0,0,0,0
False,True,True,True,1.0,3.0,90.0,1967.0,399500.0,1,3,0,0,1,0,0,0,0
False,True,False,True,2.0,3.0,73.0,1955.0,400000.0,3,1,0,0,1,0,0,0,0
True,True,False,False,-1.0,1.0,48.27,2000.0,400000.0,2,2,0,0,1,0,0,0,0
True,True,True,True,2.0,1.0,38.0,2021.0,400000.0,1,3,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,30.2,2021.0,414700.0,1,3,0,0,1,0,0,0,0
False,True,False,True,2.0,2.0,71.92,1960.0,415000.0,1,2,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.0,60.05,2023.0,415000.0,2,1,0,0,1,0,0,0,0
True,False,False,False,-1.0,3.0,69.0,1904.0,415000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,3.0,6.0,100.11,1959.0,415000.0,3,1,0,0,1,0,0,0,0
True,True,False,False,3.0,3.0,71.04,1960.0,419000.0,1,1,0,0,1,0,0,0,0
True,True,True,True,2.0,2.0,60.48,2022.0,419000.0,3,1,0,0,1,0,0,0,0
True,True,True,True,1.0,2.0,60.44,2022.0,419000.0,3,1,0,0,1,0,0,0,0
False,False,True,True,4.0,3.5,85.0,1973.0,424000.0,2,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,4.0,82.31,1963.0,424500.0,3,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,30.2,2021.0,424900.0,1,3,0,0,1,0,0,0,0
False,True,False,True,-1.0,2.0,56.5,1954.0,426500.0,1,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,79.32,1991.0,429000.0,3,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,63.52,2012.0,429000.0,1,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.0,60.37,2010.0,430000.0,1,2,0,0,1,0,0,0,0
False,True,False,True,1.0,3.0,71.0,1961.0,430000.0,3,1,0,0,1,0,0,0,0
False,True,True,False,1.0,2.0,63.27,2023.0,435000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,5.0,4.0,104.25,1970.0,435000.0,1,1,0,0,1,0,0,0,0
False,False,True,True,5.0,3.0,86.0,1971.0,440000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,9.0,4.0,112.0,1973.0,447000.0,1,1,0,0,1,0,0,0,0
False,False,False,True,-1.0,3.0,91.0,1979.0,449000.0,3,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,3.0,99.0,1968.0,449000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,3.0,2.0,58.0,1910.0,449718.0,2,3,0,0,1,0,0,0,0
False,True,True,False,-1.0,1.0,34.7,2023.0,449900.0,2,1,0,0,1,0,0,0,0
False,True,False,True,3.0,3.0,80.0,1990.0,450000.0,2,1,0,0,1,0,0,0,0
False,True,False,True,4.0,2.0,57.0,1960.0,456000.0,2,1,0,0,1,0,0,0,0
True,True,True,True,4.0,2.0,67.05,2022.0,466000.0,3,1,0,0,1,0,0,0,0
True,True,True,True,4.0,2.0,68.03,2022.0,469000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,3.0,2.0,66.0,1950.0,470000.0,2,2,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,69.63,2022.0,479000.0,3,1,0,0,1,0,0,0,0
True,True,True,True,2.0,2.0,68.65,2022.0,489000.0,3,1,0,0,1,0,0,0,0
False,True,False,False,-1.0,3.0,70.0,1905.0,499000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,3.0,3.0,92.0,1988.0,520000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,1.0,2.0,75.97,2023.0,520000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,1.0,3.0,77.22,1967.0,527000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,87.0,1890.0,535000.0,3,1,0,0,1,0,0,0,0
True,True,False,True,-1.0,3.0,68.6,1969.0,539000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,9.0,3.5,97.0,1971.0,540000.0,1,3,0,0,1,0,0,0,0
False,True,False,False,9.0,3.0,97.0,1971.0,540000.0,1,3,0,0,1,0,0,0,0
False,True,False,True,4.0,3.0,74.0,1900.0,549000.0,1,3,0,0,1,0,0,0,0
True,False,False,False,-1.0,2.0,80.96,2023.0,550000.0,3,1,0,0,1,0,0,0,0
True,True,False,False,-1.0,3.0,80.0,1955.0,550000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,-1.0,3.0,78.0,2021.0,552860.0,1,1,0,0,1,0,0,0,0
True,True,True,True,4.0,2.0,78.89,2022.0,555000.0,3,1,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.0,81.92,2023.0,560000.0,2,1,0,0,1,0,0,0,0
False,False,True,True,-1.0,3.0,75.36,2017.0,560000.0,1,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,2.0,58.1,2022.0,563500.0,1,1,0,0,1,0,0,0,0
False,True,False,False,1.0,3.0,71.0,1965.0,568000.0,3,1,0,0,1,0,0,0,0
False,True,False,True,3.0,3.0,90.0,2001.0,569000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,1.0,3.0,77.22,1967.0,569000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,6.0,3.0,80.0,1956.0,570000.0,2,1,0,0,1,0,0,0,0
True,True,True,True,1.0,2.0,68.0,2021.0,570000.0,1,3,0,0,1,0,0,0,0
True,True,False,True,3.0,3.0,88.49,1928.0,584000.0,1,1,0,0,1,0,0,0,0
False,True,False,False,5.0,3.0,84.5,1895.0,590000.0,1,3,0,0,1,0,0,0,0
True,True,True,True,1.0,2.0,68.0,2021.0,590000.0,1,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,58.1,2022.0,592600.0,1,1,0,0,1,0,0,0,0
True,False,False,False,-1.0,3.0,140.0,2020.0,595000.0,2,1,0,0,1,0,0,0,0
False,False,False,False,-1.0,3.0,90.0,1900.0,599000.0,1,3,0,0,1,0,0,0,0
False,True,True,False,-1.0,2.0,52.67,2023.0,599900.0,2,1,0,0,1,0,0,0,0
False,True,False,True,2.0,2.0,82.0,2021.0,615000.0,3,1,0,0,1,0,0,0,0
False,False,False,True,2.0,5.0,106.0,2021.0,618000.0,3,1,0,0,1,0,0,0,0
False,False,False,True,2.0,3.0,106.0,2021.0,618000.0,3,1,0,0,1,0,0,0,0
